Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
1	0.9767110	0.5966718	0.2416109	0.5963517	0.5410263	0.0589505	0.0581396	0.9766035	0.9521867	0.7555866	0.6340154	0.3536452	0.3117718	0.1853279	0.9753657	0.8267335	0.7950673	0.6703935	0.5930447	0.5289978	0.4712156	0.1832232	0.1048776	0.6550413	0.6020949	0.4064241	0.5405878	0.2588988	0.2953338	0.1633630	0.1221244	-24.526
2	0.9767110	0.6286374	0.2416109	0.5883986	0.5410263	0.0589505	0.0581396	0.9755141	0.9521867	0.7358130	0.6340154	0.3536452	0.3117718	0.1417950	0.9753657	0.8267335	0.7950673	0.6475607	0.6099969	0.5274611	0.4678291	0.1832232	0.0449898	0.6550413	0.6170536	0.4064241	0.6010544	0.2588988	0.2953338	0.1633630	0.1221244	-23.855
4	0.9767110	0.6642885	0.2416109	0.6113902	0.5410263	0.0589505	0.0581396	0.9756715	0.9521867	0.6870066	0.5993307	0.2996966	0.4089130	0.1628117	0.9383489	0.8687504	0.7970352	0.6142597	0.5821272	0.5240266	0.3538450	0.1389644	0.0449898	0.6550413	0.6208976	0.3808058	0.6010544	0.2588988	0.2953338	0.1748392	0.1221244	-20.937
6	0.9767110	0.6430983	0.2416109	0.6275805	0.5410263	0.0870929	0.0229747	0.9715588	0.9521867	0.7691790	0.7195948	0.2996966	0.4089130	0.1815052	0.8748872	0.8423345	0.7732290	0.6395654	0.5408708	0.4375243	0.2879904	0.1389644	0.0316008	0.6550413	0.6019225	0.4728967	0.6010544	0.2588988	0.3633116	0.1748392	0.1812346	-18.797
8	0.9311323	0.6171261	0.2303361	0.5990921	0.4504741	0.0830287	0.0219026	0.9078322	0.8447980	0.7688686	0.6622401	0.3373535	0.3140217	0.1730352	0.9060231	0.7614724	0.7371460	0.5325041	0.5156308	0.4171071	0.2745512	0.0967127	0.0215798	0.6231549	0.6098814	0.4508288	0.5788917	0.2990987	0.3463575	0.1833976	0.1162158	-20.219
10	0.9398765	0.6336505	0.2303361	0.5990921	0.3054529	0.0830287	0.0219026	0.8922680	0.8903605	0.6782864	0.5236390	0.3373535	0.3593668	0.1730352	0.8662153	0.7835584	0.6608283	0.6049519	0.5229947	0.5199745	0.2742366	0.0967127	0.0488383	0.6417934	0.5995308	0.4494845	0.5788917	0.2990987	0.3463575	0.1580144	0.0910114	-26.988
12	0.9666922	0.6285050	0.3001358	0.5990921	0.3702480	0.1146618	0.0616371	0.9275816	0.8903605	0.6982491	0.6656699	0.3970511	0.3228462	0.1730352	0.8464595	0.8158354	0.7510246	0.5552197	0.5256403	0.4674048	0.3028192	0.0967127	0.0768593	0.6417934	0.6166317	0.3761448	0.4667676	0.2851097	0.3463575	0.1738914	0.1562138	-25.877
14	0.9420574	0.6285050	0.3001358	0.5917516	0.3702480	0.1146618	0.0616371	0.9249246	0.8322255	0.7009513	0.6354630	0.3970511	0.3228462	0.1730352	0.8434967	0.7721168	0.7528673	0.7175033	0.5953862	0.3980041	0.3028192	0.1333995	0.0768593	0.6417934	0.6187250	0.5025548	0.6065041	0.2851097	0.3463575	0.1738914	0.1134494	-21.513
16	0.9767877	0.6909959	0.3295357	0.5600375	0.5110794	0.1881723	0.0691893	0.9593542	0.9341959	0.7971352	0.7133246	0.4457007	0.3340106	0.1942367	0.9028582	0.8869143	0.8196714	0.8022215	0.6954949	0.5232072	0.4272013	0.1534139	0.0862767	0.7204307	0.7153853	0.5641315	0.5851703	0.3200434	0.3887958	0.1325530	0.1123079	-19.204
18	0.9767877	0.6198324	0.3295357	0.5558063	0.4152578	0.1581458	0.0691893	0.9314211	0.9025191	0.7765191	0.7133246	0.4457007	0.3340106	0.1942367	0.9236786	0.8904009	0.8570796	0.7456272	0.7324842	0.5232072	0.4731030	0.2284710	0.2029146	0.7204307	0.7086261	0.5641315	0.6819784	0.3200434	0.3887958	0.1325530	0.1123079	-21.013
20	0.9458160	0.5862414	0.1969851	0.5224871	0.4152578	0.0309974	0.0036393	0.9056447	0.8352310	0.6843627	0.6769763	0.4457007	0.3340106	0.2347204	0.9051494	0.9036372	0.8262428	0.8246768	0.6524874	0.5276228	0.4729447	0.2944484	0.0882958	0.7204307	0.7086261	0.5641315	0.6819784	0.2146449	0.3887958	0.1325530	0.0990822	-16.936
22	0.9247619	0.5862414	0.1969851	0.4420065	0.4152578	0.0309974	0.0036393	0.9121412	0.8745596	0.7377370	0.6954239	0.4457007	0.3340106	0.2347204	0.9087066	0.8974627	0.8262428	0.8256837	0.6170932	0.5479865	0.4729447	0.2944484	0.0882958	0.7204307	0.6926018	0.5528727	0.6178592	0.2146449	0.3887958	0.1325530	0.0990822	-16.538
24	0.9247619	0.5293946	0.1969851	0.4420065	0.4099899	0.0908916	0.0362200	0.9159858	0.8455900	0.7258273	0.6954239	0.2020747	0.3340106	0.2347204	0.9159576	0.8707734	0.8262428	0.7121228	0.6586708	0.5823437	0.4765279	0.2944484	0.0882958	0.7108052	0.6583235	0.5822345	0.6178592	0.2532583	0.2558197	0.1325530	0.0929003	-21.239
26	0.9247619	0.4905551	0.1969851	0.4684978	0.4099899	0.0822296	0.0185825	0.9043919	0.8705034	0.7258273	0.5925268	0.2433797	0.4275138	0.2043739	0.9041273	0.8524887	0.8124761	0.7015936	0.6318161	0.5773980	0.3709970	0.2140825	0.0352411	0.7108052	0.6870473	0.4751901	0.6146971	0.2508580	0.2558197	0.1325530	0.0703414	-19.094
28	0.9247619	0.4570829	0.1969851	0.4408211	0.4099899	0.0242713	0.0185825	0.8998079	0.8480895	0.7258273	0.7142026	0.2433797	0.4275138	0.2126877	0.8867712	0.8423995	0.8007871	0.7688235	0.6787530	0.5773980	0.3709970	0.2140825	0.0451126	0.7108052	0.5919478	0.4751901	0.5325931	0.2508580	0.2558197	0.1325530	0.0703414	-26.780
30	0.9067455	0.4570829	0.2247967	0.4459318	0.3263667	0.0242713	0.0185825	0.8878716	0.8591006	0.7942840	0.6909396	0.2433797	0.4275138	0.2754309	0.8760397	0.8641142	0.8405282	0.8133858	0.5975156	0.5773980	0.4158644	0.2140825	0.0451126	0.6557260	0.5639731	0.4031111	0.5325931	0.2508580	0.2558197	0.1293394	0.0712830	-22.977
32	0.7350089	0.4017431	0.1829134	0.3628473	0.2655592	0.1179322	0.0117679	0.7118346	0.6990360	0.6501086	0.5951579	0.1859535	0.3203129	0.2734295	0.6953129	0.6931629	0.6839239	0.6583017	0.4958127	0.3728276	0.3258784	0.1741954	0.0156642	0.4656335	0.4468147	0.2762024	0.4333622	0.2041190	0.2081563	0.1589555	0.0712830	-30.244
34	0.7033829	0.3679588	0.1204648	0.3411127	0.2781150	0.0336613	0.0117679	0.6994904	0.6890265	0.6028929	0.4556060	0.1859535	0.3203129	0.2734295	0.6952478	0.6898751	0.6585819	0.5732025	0.4661510	0.4239536	0.3258784	0.1741954	0.0332281	0.4656335	0.4383209	0.2360581	0.4333622	0.2041190	0.2081563	0.1589555	0.0712830	-28.895
36	0.8647119	0.4757812	0.1977141	0.4682338	0.4166274	0.1073349	0.0219027	0.8564303	0.8241181	0.7247463	0.6216122	0.2286041	0.3711741	0.3361437	0.8516235	0.8485137	0.7739595	0.6574848	0.5730681	0.5211923	0.4006224	0.1516901	0.0408493	0.6463006	0.5751460	0.2902008	0.5327588	0.2509361	0.3601249	0.1292992	0.0858803	-29.578
38	0.7664583	0.4235437	0.1672609	0.3974051	0.2653261	0.0115044	0.0028103	0.7285436	0.6796971	0.6131162	0.5240469	0.2977842	0.3175978	0.2843687	0.7118200	0.7021329	0.6278645	0.4929457	0.4531325	0.4253835	0.3389159	0.1283258	0.0345574	0.5467532	0.4959849	0.1904668	0.4608546	0.2122853	0.1978893	0.1528407	0.0858803	-31.305
40	0.9746729	0.5357860	0.2145497	0.4400839	0.4334868	0.1088458	0.0025838	0.9516797	0.8718643	0.7864593	0.7126931	0.5481799	0.4073906	0.3526197	0.9166347	0.8714090	0.7254701	0.6451628	0.5889203	0.4466627	0.4440439	0.1646067	0.0443277	0.7013339	0.6488859	0.2919678	0.5911496	0.1617014	0.2201932	0.1191532	0.0656345	-40.014
42	0.9746729	0.6032698	0.1631212	0.5650125	0.4039660	0.1074785	0.0375671	0.9381803	0.8663903	0.7864593	0.7126931	0.4145546	0.4112330	0.2798437	0.8971726	0.8665072	0.7204660	0.6776631	0.6498829	0.4576084	0.4440439	0.2653251	0.1117115	0.7277107	0.6488859	0.3491301	0.6484845	0.2084797	0.2402960	0.1191532	0.0656345	-31.828
44	0.9746729	0.5673310	0.0774395	0.5653807	0.5179066	0.1074785	0.0375671	0.9342005	0.8663903	0.7145310	0.6443814	0.4145546	0.5027641	0.2798437	0.9291580	0.8785544	0.6843972	0.6659588	0.4908266	0.4491336	0.3769113	0.2653251	0.1027853	0.7200173	0.6731846	0.3036113	0.6649805	0.2084797	0.3013587	0.1351872	0.0656345	-26.832
46	0.9647709	0.5680876	0.0774395	0.5421616	0.5179066	0.0573249	0.0053661	0.9518039	0.8663903	0.6965708	0.6161124	0.4191355	0.5027641	0.2798437	0.8911011	0.8126403	0.6938498	0.6642819	0.4901292	0.4491336	0.3715061	0.2653251	0.1027853	0.7200173	0.6969814	0.4171147	0.6649805	0.2084797	0.3013587	0.1351872	0.0656345	-24.414
48	0.9760437	0.5501267	0.1030329	0.5327002	0.5179066	0.0111240	0.0053661	0.9111642	0.8551670	0.7523013	0.6161124	0.4191355	0.4032658	0.2447871	0.8679792	0.8126403	0.7367132	0.6570786	0.4907944	0.4399057	0.3715061	0.2653251	0.1027853	0.7200173	0.7013448	0.4171147	0.6649805	0.1874344	0.3896287	0.1351872	0.0656345	-31.291
50	0.9098205	0.5501267	0.0831322	0.5496289	0.5258487	0.0111240	0.0031200	0.8761061	0.8551670	0.8361311	0.7281503	0.4191355	0.4032658	0.3233973	0.8668010	0.8356805	0.6958030	0.6570786	0.5206244	0.4011978	0.3715061	0.2653251	0.1108333	0.6869230	0.6752624	0.4171147	0.6649805	0.1874344	0.4877968	0.1351872	0.0656345	-32.414
52	0.8898956	0.5501267	0.1300985	0.5451484	0.5258487	0.0549550	0.0164423	0.8721891	0.8690367	0.7549988	0.7281503	0.4191355	0.4032658	0.2849150	0.8578060	0.7456589	0.6629384	0.6271195	0.5206244	0.4954314	0.4093792	0.2653251	0.1108333	0.6753902	0.6710016	0.4265654	0.6649805	0.1874344	0.3310944	0.1351872	0.0656345	-28.240
54	0.7495342	0.4633563	0.1279324	0.4596023	0.4429076	0.0462871	0.0241490	0.7349034	0.7319653	0.6359144	0.4448431	0.3530261	0.3396595	0.2399759	0.6994974	0.6230213	0.5709264	0.5359895	0.4407107	0.4067069	0.3448086	0.2002033	0.0299090	0.5890177	0.5879533	0.4399269	0.5600945	0.2106509	0.2788715	0.1605031	0.0551057	-30.471
56	0.8019733	0.4912931	0.0874884	0.4561188	0.4429076	0.1137382	0.0030300	0.7535137	0.7319653	0.5735284	0.4583922	0.3300258	0.2855140	0.2015512	0.6693036	0.6648509	0.5709264	0.5014627	0.4990892	0.4375635	0.3583285	0.1869535	0.1000882	0.6287569	0.6004783	0.2389581	0.5262587	0.2106509	0.2788715	0.1605031	0.0724576	-32.668
58	0.8019733	0.4634723	0.1146635	0.4616337	0.3540873	0.0305527	0.0030300	0.7611062	0.7131177	0.5040990	0.4920247	0.3300258	0.2855140	0.2281738	0.6872343	0.6844423	0.5949195	0.5257269	0.4463588	0.3698059	0.3031477	0.1739397	0.1364420	0.6154550	0.5582202	0.3124454	0.5306795	0.2106509	0.2788715	0.1605031	0.0724576	-21.645
60	0.9767259	0.5633822	0.1393813	0.5444585	0.5208500	0.0614529	0.0216180	0.9458393	0.9013451	0.6410628	0.5980896	0.2730010	0.3470617	0.2818966	0.9432365	0.8313461	0.7624997	0.6663512	0.6194281	0.6028424	0.3684967	0.2114356	0.1658546	0.7246657	0.6594219	0.3797987	0.6450771	0.2560606	0.4230616	0.1301735	0.0724576	-24.627
62	0.9502144	0.5562723	0.1907916	0.5539365	0.4301488	0.0376814	0.0216180	0.9335942	0.9013451	0.6410628	0.4682122	0.1418893	0.3470617	0.2127954	0.9110840	0.8572799	0.8199649	0.6935237	0.6015895	0.4977597	0.3684967	0.2114356	0.1752031	0.7152761	0.6944372	0.3014823	0.6450771	0.2560606	0.2919376	0.1301735	0.0724576	-20.187
64	0.9663099	0.5562723	0.1708626	0.5158408	0.4837771	0.0376814	0.0216180	0.9564541	0.8918679	0.6061389	0.4682122	0.1418893	0.3470617	0.2127954	0.9215555	0.8825473	0.7234041	0.6981155	0.6737981	0.5431517	0.4457285	0.2114356	0.1752031	0.7152761	0.6944372	0.3014823	0.6450771	0.2560606	0.2778477	0.1301735	0.0724576	-28.441
66	0.9588216	0.5562723	0.2408019	0.5294782	0.4837771	0.0255759	0.0022712	0.9545619	0.8918679	0.7203688	0.4682122	0.2832415	0.3470617	0.2127954	0.9067187	0.9001825	0.7226884	0.6595121	0.6168203	0.5431517	0.4016887	0.2114356	0.1752031	0.7004829	0.6853176	0.3926849	0.6450771	0.1811512	0.2778477	0.1301735	0.0724576	-25.775
68	0.9040605	0.5614635	0.3300394	0.4694398	0.4485915	0.0237157	0.0021060	0.8584758	0.7973516	0.5667608	0.4111422	0.2626410	0.3654734	0.2610301	0.8481521	0.8347113	0.6701266	0.6121490	0.5928762	0.5086278	0.3724735	0.1960576	0.1244381	0.6495361	0.6255101	0.3641245	0.5981600	0.1679759	0.2576396	0.1403838	0.0724576	-22.333
70	0.9985224	0.5270752	0.1757177	0.5164107	0.5155829	0.1350393	0.0241672	0.9848948	0.8697730	0.5872946	0.4911116	0.3018631	0.4200522	0.3000116	0.9609334	0.9513413	0.8230003	0.7147622	0.7090577	0.5845848	0.4772631	0.2253363	0.0511131	0.7465359	0.6990124	0.5269174	0.6874875	0.0867836	0.4209535	0.1221433	0.0730800	-22.517
72	0.9985224	0.5270752	0.1757177	0.5223429	0.3162140	0.0288098	0.0241672	0.9799406	0.8697730	0.5872946	0.4209068	0.3018631	0.4200522	0.3039954	0.9599062	0.9531010	0.9141861	0.7691092	0.6941263	0.5846980	0.4837965	0.2253363	0.1145183	0.7509110	0.6986579	0.5269174	0.6874875	0.1951743	0.3508309	0.1221433	0.1188921	-20.676
74	0.9950872	0.5270752	0.1757177	0.4989691	0.4454876	0.1190509	0.0523782	0.9610958	0.9434678	0.6166582	0.4209068	0.3018631	0.4200522	0.2510274	0.9516971	0.9186344	0.8911423	0.7033354	0.6941263	0.6080162	0.4837965	0.2253363	0.0997088	0.7509110	0.7132393	0.3940054	0.6383967	0.1951743	0.3508309	0.1221433	0.0941923	-25.142
76	0.7133226	0.3821844	0.0781130	0.3540448	0.3175801	0.0825360	0.0376038	0.6883499	0.6204013	0.3998432	0.3649120	0.2167162	0.3015676	0.1973503	0.6822560	0.6757993	0.6397769	0.5216674	0.5205703	0.3987010	0.3505938	0.1998962	0.0715838	0.5391008	0.4828494	0.2828679	0.4583235	0.0569484	0.1730738	0.1642588	0.0941923	-27.719
78	0.8023543	0.5083377	0.0910241	0.4422587	0.3562995	0.0961781	0.0438193	0.7970440	0.7229460	0.4891369	0.4252274	0.2525367	0.2670117	0.1928767	0.7951953	0.7832162	0.6818123	0.6113934	0.6109792	0.4409297	0.4085426	0.1605413	0.0834158	0.5702949	0.5643189	0.3296224	0.4459432	0.0663612	0.2166748	0.1409599	0.0941923	-21.138
80	0.8632659	0.5232187	0.2457830	0.3739637	0.3661734	0.0649589	0.0438193	0.8154235	0.8137702	0.5185262	0.4721974	0.2525367	0.3459889	0.1928767	0.8147904	0.7926370	0.7053277	0.6247713	0.5466885	0.5171231	0.3695181	0.1176616	0.0834158	0.6525092	0.5526358	0.3296224	0.4718320	0.0663612	0.2311431	0.1409599	0.0927448	-30.538
82	0.9312639	0.5594505	0.2007602	0.5404888	0.4003257	0.0508105	0.0476944	0.8984058	0.8857342	0.5452971	0.5392392	0.4257410	0.4932311	0.2099334	0.8630948	0.8627321	0.7677018	0.7220283	0.6052207	0.5702678	0.3902153	0.1280667	0.0686228	0.6817575	0.6342526	0.2604120	0.5433301	0.1395168	0.2515837	0.1295072	0.0927448	-28.909
84	1.0524566	0.6475752	0.2323840	0.6383999	0.4633851	0.1563238	0.0552072	1.0421180	1.0252553	0.6682548	0.6241803	0.4194517	0.5306751	0.3250075	1.0213895	0.9206560	0.8886303	0.8450116	0.7763783	0.6804731	0.4887825	0.1482398	0.0834561	0.7891481	0.7009884	0.2157744	0.6289155	0.1614936	0.2776917	0.1118833	0.1043534	-30.870
86	0.9121381	0.5574818	0.2016138	0.5538688	0.4020278	0.1356248	0.0862430	0.8902633	0.8326914	0.6239591	0.5799941	0.3639117	0.3309428	0.2114654	0.8268993	0.8023960	0.7748440	0.7714030	0.6466732	0.6414917	0.4240623	0.1286113	0.0724056	0.6420813	0.5913982	0.2651057	0.5456402	0.1401101	0.2409223	0.1289589	0.1043534	-29.677
88	0.8035209	0.4569233	0.1652468	0.4539620	0.3693490	0.1111608	0.0706865	0.7646671	0.7434539	0.4901664	0.4753748	0.2982693	0.2712473	0.1733213	0.7344579	0.6750763	0.6565253	0.6292988	0.5623849	0.5257795	0.3236198	0.0821144	0.0430524	0.5262627	0.4724435	0.2711044	0.3695603	0.1148370	0.1307031	0.1573398	0.0650420	-22.877
90	0.9272663	0.5487280	0.1984480	0.5451717	0.5147025	0.1378628	0.0848888	0.9242783	0.8954725	0.5886503	0.5782031	0.3581974	0.3257461	0.1968302	0.8227139	0.8056625	0.7657478	0.6808196	0.6753789	0.4772559	0.3886413	0.1303673	0.1039275	0.6319990	0.6005315	0.2532368	0.5176515	0.1379100	0.1569639	0.1502147	0.0818593	-25.287
92	0.9272663	0.5487280	0.1610039	0.5366864	0.5147025	0.1378628	0.0848888	0.9264917	0.8954725	0.5886503	0.5782031	0.3581974	0.3713344	0.2521003	0.8327422	0.7956903	0.7263066	0.7231553	0.6753789	0.4745186	0.3886413	0.1342422	0.1039275	0.6319990	0.5846867	0.3362981	0.5020910	0.1379100	0.2197562	0.1502147	0.0818593	-18.597
94	0.9919356	0.6854104	0.2139473	0.6625296	0.5505988	0.1474776	0.0093583	0.9674565	0.9579244	0.6297039	0.6185281	0.3831788	0.3326060	0.2696822	0.8918871	0.8511832	0.8083447	0.7742597	0.6974447	0.4854457	0.4157459	0.1412933	0.1111756	0.6090589	0.5566340	0.3874390	0.5225180	0.1720275	0.2350824	0.1372990	0.0604495	-23.493
96	1.0116210	0.6854104	0.2350389	0.6182104	0.5505988	0.0099710	0.0093583	0.9628427	0.8987343	0.8148235	0.6553763	0.5021727	0.4232106	0.3013803	0.8888880	0.8490866	0.8083447	0.7539339	0.6974447	0.5067713	0.4157459	0.1580728	0.0979503	0.6860240	0.6577225	0.4906337	0.5371108	0.1720275	0.2350824	0.1372990	0.0604495	-28.863
98	0.9362814	0.6161781	0.1548042	0.5551849	0.4173858	0.0476577	0.0096282	0.9160858	0.8585333	0.7569673	0.6218095	0.4764526	0.4015348	0.2859443	0.8459763	0.8458064	0.7436535	0.7299697	0.6406159	0.4546163	0.3478892	0.2182678	0.0907128	0.6415653	0.5677583	0.4655047	0.5208696	0.0809566	0.3150234	0.1447108	0.0401650	-30.057
100	0.9301539	0.5903143	0.1318214	0.5713142	0.4173858	0.0762183	0.0096282	0.8951113	0.8585333	0.7436079	0.6218095	0.4764526	0.4015348	0.2859443	0.8322897	0.8192984	0.7345854	0.6658154	0.6406159	0.4674658	0.3478892	0.1607071	0.0918737	0.6291976	0.5980830	0.4426263	0.5909589	0.0809566	0.3150234	0.1447108	0.0401650	-21.328
102	0.9462131	0.6144963	0.1620498	0.6089886	0.4055435	0.0702546	0.0096282	0.8949389	0.8585333	0.7436079	0.6218095	0.2666069	0.4015348	0.3101668	0.8540230	0.8005925	0.7937927	0.7518666	0.6406159	0.4674658	0.4578228	0.1607071	0.0918737	0.6942417	0.6450413	0.4426263	0.6027624	0.0809566	0.3150234	0.1447108	0.0401650	-31.332
104	0.9802716	0.6607104	0.1742370	0.5615831	0.4360430	0.0444783	0.0103523	0.9531742	0.8972071	0.7995320	0.6473580	0.2866574	0.4409693	0.2892520	0.8987743	0.8874468	0.8187211	0.7861321	0.5964722	0.5811914	0.3949925	0.1576672	0.0987832	0.7464532	0.6971137	0.4759147	0.6480940	0.0870451	0.2562896	0.1345888	0.0574113	-26.493
106	0.9802716	0.6265526	0.1742370	0.5823058	0.4191870	0.0444783	0.0139779	0.9491906	0.9234936	0.8573341	0.8494908	0.4609121	0.3947723	0.2034213	0.8889673	0.8874468	0.8549690	0.8036043	0.6394787	0.5655989	0.3949925	0.1576672	0.0987832	0.7458221	0.7095382	0.4759147	0.6480940	0.0870451	0.2562896	0.1345888	0.0574113	-27.170
108	0.9802716	0.5836533	0.1272260	0.5787241	0.4191870	0.0444783	0.0355326	0.9799197	0.9234936	0.9015385	0.6906063	0.4609121	0.3019634	0.2034213	0.9515008	0.9228992	0.8053720	0.6714837	0.5965837	0.5655989	0.3949925	0.1576672	0.0982479	0.7458221	0.7058023	0.4464917	0.6114226	0.0870451	0.2562896	0.1345888	0.0574113	-25.523
110	0.9802716	0.5836533	0.1272260	0.5787241	0.4191870	0.0410755	0.0355326	0.9729816	0.9699842	0.8510684	0.6906063	0.3743141	0.2687475	0.1579779	0.9705731	0.8906859	0.7758531	0.7426115	0.5901781	0.5655989	0.3949925	0.1576672	0.0898415	0.7429395	0.6449522	0.4464917	0.6114226	0.2128217	0.2969998	0.1345888	0.0821435	-27.206
112	0.9978632	0.6373109	0.1905729	0.4409417	0.4191870	0.1796662	0.0355326	0.9965142	0.9743751	0.9211920	0.5878015	0.3139337	0.3666333	0.2278572	0.9155098	0.8786272	0.8116674	0.7601513	0.6659706	0.5565394	0.3117284	0.1576672	0.0898415	0.6550894	0.6435223	0.4464917	0.6114226	0.2128217	0.2969998	0.1345888	0.0821435	-38.657
114	0.9978632	0.5233175	0.2978909	0.4194304	0.4191870	0.0943676	0.0355326	0.9858532	0.9743751	0.9211920	0.6471226	0.3674975	0.3963299	0.2278572	0.9223801	0.9108468	0.8429513	0.6684197	0.6659706	0.4765593	0.2644527	0.1103111	0.0307122	0.6550894	0.6457822	0.5215784	0.6114226	0.0754789	0.3120328	0.1334418	0.0821435	-29.121
116	1.0543048	0.5242498	0.2978909	0.4256860	0.3487857	0.0402269	0.0355326	0.9920572	0.9743751	0.9211920	0.6471226	0.3674975	0.3424864	0.2298953	0.9688482	0.9268348	0.8737879	0.6684197	0.5310104	0.4813615	0.2644527	0.1103111	0.0307122	0.6446548	0.6149557	0.3922557	0.6114226	0.0985262	0.3120328	0.1404452	0.0821435	-27.707
118	1.1154306	0.5725965	0.2978909	0.4272244	0.3539654	0.0402269	0.0355326	1.1067613	0.9808239	0.9211920	0.6471226	0.3420712	0.2599677	0.1680523	1.0808037	0.9263992	0.8737879	0.8479427	0.6222309	0.4813615	0.3376519	0.1047891	0.0739350	0.8337231	0.6149557	0.4099599	0.6114226	0.0985262	0.3120328	0.1404452	0.1055996	-29.022
120	0.9068496	0.5488389	0.2421865	0.4698506	0.3473052	0.0431877	0.0288882	0.8665907	0.8580979	0.7489328	0.6923781	0.4195032	0.2292283	0.1795111	0.8628400	0.7531663	0.7029862	0.6893808	0.5074738	0.3510593	0.2745124	0.0851940	0.0447242	0.6778202	0.4999614	0.3332991	0.4970890	0.0801022	0.2536839	0.1727484	0.1055996	-22.179
122	0.9457282	0.5723689	0.2525696	0.4678162	0.4392868	0.0429708	0.0301267	0.9053981	0.8948865	0.7449267	0.6659511	0.2859361	0.2295135	0.1884651	0.8475812	0.8186772	0.7699969	0.6916663	0.5514801	0.3081844	0.2339900	0.1085149	0.0897674	0.7220916	0.5213959	0.2687578	0.5184003	0.0835363	0.1905978	0.1656468	0.1055996	-19.217
124	0.7912961	0.4856727	0.2143131	0.3778406	0.3727484	0.0364621	0.0255634	0.7651763	0.7510700	0.5731270	0.4494093	0.2426256	0.1947493	0.1599185	0.7051966	0.6770677	0.6402522	0.5212690	0.4679479	0.2681574	0.2574383	0.0920782	0.0761704	0.5662908	0.3822623	0.2342856	0.3629611	0.0708832	0.1927926	0.1952160	0.1055996	-22.562
126	0.7912961	0.5116658	0.2143131	0.4132501	0.3120285	0.0606610	0.0255634	0.7911483	0.7510700	0.5555884	0.4404676	0.2426256	0.1947493	0.1759786	0.7700458	0.7010103	0.5727962	0.5003382	0.4424077	0.2681574	0.2574383	0.0959968	0.0761704	0.5570159	0.4458297	0.2206477	0.3943241	0.0503441	0.1585262	0.1791418	0.1418959	-29.146
128	0.6629752	0.4104374	0.1887822	0.3462352	0.1610418	0.0506902	0.0214179	0.6458807	0.6292723	0.4654911	0.3690389	0.2297277	0.2135410	0.1474410	0.6435282	0.5873306	0.4638419	0.4303530	0.3466924	0.2111534	0.1658697	0.1020665	0.0771865	0.4666871	0.3556905	0.2687691	0.3303784	0.0786451	0.1221027	0.2138153	0.1418959	-29.612
130	0.7661370	0.4743033	0.2181575	0.4001109	0.1861006	0.0585779	0.0247506	0.7598093	0.7271898	0.4629402	0.4264630	0.2654744	0.2467689	0.1703834	0.7161765	0.6660334	0.5722058	0.4897344	0.3795325	0.2440098	0.1916797	0.1225788	0.0665378	0.4766783	0.4463268	0.2841217	0.3226693	0.1704253	0.1288203	0.1850246	0.2121368	-27.325
132	0.9656032	0.5831113	0.2325593	0.5042810	0.2345525	0.0558205	0.0034370	0.9499229	0.9240266	0.7131205	0.5374940	0.3345915	0.3185560	0.1497449	0.9088201	0.8394373	0.6701806	0.5625920	0.4783450	0.4376913	0.1799165	0.1544926	0.0838612	0.6007830	0.5244022	0.3580937	0.5139985	0.2147961	0.3116531	0.1468038	0.1649746	-28.386
134	0.9960948	0.5654406	0.2325593	0.5630605	0.3402849	0.0558205	0.0171874	0.9875096	0.9210229	0.7131205	0.6086513	0.3345915	0.3206345	0.1497449	0.9195324	0.7587071	0.7358660	0.5402198	0.4904156	0.4376913	0.1765125	0.1544926	0.0663799	0.6007830	0.5350975	0.2634908	0.5139985	0.2147961	0.3116531	0.1468038	0.1649746	-28.334
136	0.9960948	0.5654406	0.3220036	0.5630605	0.3962540	0.0388783	0.0171874	0.9860477	0.9162118	0.8091144	0.6086513	0.2149908	0.2541127	0.1284624	0.9509868	0.7552963	0.6000396	0.5284597	0.4589974	0.4071224	0.2733297	0.1544926	0.0840841	0.6114682	0.5350975	0.2634908	0.5139985	0.2147961	0.3116531	0.1499206	0.1649746	-29.276
138	0.9190568	0.5829623	0.3276920	0.5397533	0.4713819	0.0719988	0.0589521	0.9021919	0.8153303	0.7512472	0.4334942	0.1983634	0.3144628	0.1558524	0.7217318	0.7174962	0.6216739	0.5276386	0.5074521	0.3756355	0.3126822	0.1445929	0.0775811	0.5641772	0.5100118	0.2443625	0.4742458	0.1981837	0.2875498	0.1624874	0.1649746	-29.138
140	0.8475052	0.5889668	0.4180942	0.5337000	0.4346833	0.0703186	0.0108326	0.7629468	0.7518542	0.4937216	0.4494817	0.1829202	0.2899808	0.1577091	0.6794686	0.6595007	0.6295608	0.6278343	0.5624300	0.3463911	0.1805498	0.0922542	0.0811439	0.5889136	0.5082308	0.2253381	0.4932752	0.1827545	0.1762439	0.1622998	0.1649746	-33.214
