Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
6226	1.0811182	0.6813362	0.3561546	0.6648930	0.6303322	0.1412865	0.0368983	1.0671269	1.0252566	0.8001886	0.7826863	0.4805799	0.4765027	0.2741222	1.0614864	0.9168794	0.8530853	0.8036470	0.6271761	0.3743073	0.3118614	0.1175245	0.0732203	0.7267883	0.6948294	0.5466982	0.5883099	0.1332478	0.1695437	0.1249349	0.0436681	-30.032
6228	0.9202198	0.5575158	0.2914300	0.5440608	0.5157809	0.1259081	0.0301927	0.9001663	0.8389350	0.7323880	0.6404474	0.3932433	0.3325775	0.2243055	0.8547368	0.7249909	0.6980527	0.6012779	0.3750385	0.3062838	0.2444966	0.0961665	0.0599138	0.5947078	0.5685569	0.3463006	0.4770708	0.1090325	0.1263274	0.1526821	0.0797636	-25.768
6230	0.8367832	0.5524307	0.2650060	0.5469751	0.3643626	0.1282544	0.0274551	0.8057036	0.7628685	0.6440977	0.5829135	0.2772146	0.3024227	0.1830412	0.7473803	0.6500389	0.5903220	0.5773801	0.3410337	0.3134215	0.2223280	0.0774136	0.0544814	0.5696304	0.5405881	0.3149015	0.4338147	0.0991465	0.1148733	0.1679062	0.0533590	-27.754
6232	0.7907081	0.5524307	0.2280001	0.5417658	0.4970331	0.1282544	0.0274551	0.7842187	0.7345207	0.6115052	0.5829135	0.3237157	0.3024227	0.2226343	0.6993348	0.6852344	0.6204980	0.6003316	0.3815163	0.3537292	0.2814584	0.0774136	0.0321785	0.5696304	0.5188160	0.3149015	0.4089077	0.0884097	0.1768491	0.1679062	0.1033509	-24.587
6234	0.9887107	0.6904624	0.1905302	0.6597936	0.6212230	0.0731007	0.0343151	0.9496757	0.9180498	0.7364591	0.6320204	0.4046001	0.4056550	0.2782622	0.9423327	0.8789069	0.7889397	0.5109306	0.5006543	0.4264350	0.3517843	0.1898100	0.0948713	0.7612761	0.6484487	0.3935836	0.5723805	0.1104999	0.1638756	0.1447969	0.1033509	-24.109
6236	0.9825578	0.6905617	0.1813137	0.6463881	0.4703559	0.0731007	0.0343151	0.9481668	0.9182839	0.7250464	0.6615757	0.4046001	0.3691096	0.2782622	0.8971404	0.8789069	0.8150638	0.5109306	0.5006543	0.4264350	0.3850069	0.1898100	0.0948713	0.7612761	0.6252492	0.3935836	0.5723805	0.1104999	0.1831332	0.1447969	0.1033509	-18.538
6238	1.1447906	0.8126208	0.2227617	0.7606394	0.5534929	0.1187736	0.0132725	1.0577077	0.9911915	0.8532008	0.7816316	0.5072221	0.5372678	0.3274460	1.0532270	1.0342567	0.9294919	0.6012393	0.6010721	0.5018088	0.4530582	0.2233596	0.0530659	0.8438717	0.6950695	0.5154791	0.6735507	0.1300312	0.3201237	0.1230478	0.1033509	-18.447
6240	0.9759216	0.7134559	0.1955779	0.6678178	0.5428051	0.2115915	0.0474281	0.9730397	0.8702354	0.6618512	0.6101978	0.4060299	0.4717044	0.2296076	0.9619856	0.9080454	0.8392040	0.6937419	0.4959919	0.4405726	0.3296472	0.1416842	0.0465902	0.7760444	0.7197205	0.3074087	0.6758509	0.1141634	0.2810587	0.1401505	0.1088070	-21.638
6242	0.7889681	0.5593200	0.1533250	0.4769758	0.4421291	0.1658790	0.0282096	0.7718940	0.7282112	0.5241746	0.4783699	0.3924828	0.3697969	0.2242997	0.7435291	0.7118702	0.6065896	0.5438650	0.5097596	0.3700312	0.2584299	0.1172883	0.0365248	0.5633312	0.5522504	0.2815443	0.5298392	0.0765750	0.1700805	0.1544596	0.1088070	-24.258
6244	0.9086604	0.6101208	0.1786621	0.5456561	0.5151915	0.1060334	0.0103084	0.8980923	0.8485490	0.6291747	0.5265138	0.3051384	0.4069530	0.2613654	0.8881928	0.8555147	0.7829438	0.7479020	0.5208644	0.4531812	0.2278229	0.1366703	0.0425606	0.6564223	0.6498104	0.2969776	0.6173958	0.0892291	0.1981864	0.1325548	0.1088070	-22.719
6246	0.9086604	0.6101208	0.1835233	0.5829517	0.5151915	0.0860772	0.0722431	0.8856953	0.7930066	0.6291747	0.6237669	0.3051384	0.5176206	0.2613654	0.8798087	0.8793769	0.7733464	0.7698384	0.7107836	0.6023541	0.2714519	0.1114013	0.0425606	0.6808533	0.6545595	0.2057868	0.5155555	0.0440427	0.1981864	0.1325548	0.1280949	-22.385
6248	0.8738112	0.5805890	0.1746402	0.5586124	0.5043952	0.0690775	0.0687463	0.8466287	0.7717657	0.6471160	0.5928218	0.3642212	0.4169470	0.2487145	0.8432030	0.8280953	0.7372770	0.7157158	0.6991225	0.4763221	0.2583128	0.0784651	0.0587043	0.6532421	0.5213866	0.2008110	0.4906010	0.1328513	0.1848536	0.1316647	0.0723019	-24.535
6250	0.9986967	0.7021536	0.1968017	0.6067984	0.5684017	0.3831487	0.0774700	0.9535723	0.8697009	0.7347534	0.6133753	0.4104400	0.3770721	0.1965013	0.9529829	0.9259900	0.7935421	0.7395422	0.6767272	0.5367663	0.2910921	0.0860137	0.0661538	0.6440490	0.5619357	0.2877135	0.5528571	0.1497099	0.3169628	0.1168382	0.0731729	-31.919
6252	0.9643470	0.6317005	0.1968017	0.6111769	0.5974490	0.2310124	0.1409687	0.9619586	0.9117567	0.7465150	0.6801484	0.4104400	0.3192913	0.2366357	0.9443719	0.9259900	0.7925764	0.6772558	0.5883091	0.5367663	0.4014976	0.1265452	0.0583783	0.6440490	0.6011924	0.2877135	0.5328223	0.1497099	0.3169628	0.1168382	0.0731729	-19.408
6254	0.9098766	0.5510202	0.1716663	0.5398768	0.5211433	0.2609294	0.1229643	0.8702257	0.7953079	0.6366746	0.6218477	0.3580189	0.2647451	0.2064128	0.8682222	0.8009068	0.6763959	0.6631615	0.6431379	0.5582340	0.3502186	0.1103830	0.0509223	0.4963144	0.4724267	0.3949122	0.4647707	0.0913251	0.1814309	0.1339457	0.0731729	-26.489
6256	0.5708491	0.3203419	0.0998002	0.3200600	0.2542798	0.1501316	0.0714867	0.5041430	0.4984539	0.3669641	0.3178047	0.2279787	0.2011587	0.1200004	0.4778558	0.4271697	0.3932305	0.3740855	0.3729088	0.2749690	0.1924886	0.1034965	0.0296042	0.2949055	0.2844842	0.2373390	0.2676702	0.0530929	0.0726128	0.2145652	0.1004266	-32.877
6258	0.8577321	0.4813313	0.1499552	0.4798047	0.3820694	0.1720355	0.1074127	0.8114594	0.7503432	0.5852749	0.5654476	0.3425504	0.3022519	0.2108704	0.8097631	0.7341035	0.6377531	0.5969707	0.5967358	0.3715657	0.2892246	0.1230555	0.1147262	0.4431117	0.4343074	0.3343800	0.4021891	0.0797749	0.1670380	0.1547983	0.1004266	-24.403
